Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-joquei-6200m2-RS610000/id-29110758/;R$ 610.000;Rua Das Orquídeas, 164, Jóquei, Teresina/PI;apartamento;6.200m² / 6.200m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-lourival-parente-47m2-RS170000/id-22285478/;R$ 170.000;Rua Fiel, Lourival Parente, Teresina/PI;apartamento;47m² / 47m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-lourival-parente-47m2-RS170000/id-26303234/;R$ 170.000;Rua Fiel, Lourival Parente, Teresina/PI;apartamento;47m² / 47m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-lourival-parente-70m2-RS200000/id-17107892/;R$ 200.000;Rua Marechal Dutra, Lourival Parente, Teresina/PI;apartamento;70m² / 70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-marques-de-paranagua-92m2-RS205000/id-3464269/;R$ 205.000;Rua Desembargador Pires De Castro, Marquês De Paranaguá, Teresina/PI;apartamento;92m² / 92m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-monte-castelo-43m2-RS200000/id-3464085/;R$ 200.000;Rua Desembargador Mota, Monte Castelo, Teresina/PI;apartamento;43m² / 43m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-monte-castelo-49m2-RS150000/id-19327316/;R$ 150.000;Rua Desembargador Mota, Monte Castelo, Teresina/PI;apartamento;49m² / 49m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-monte-castelo-58m2-RS250000/id-3464340/;R$ 250.000;Avenida Barão De Castelo Branco, Monte Castelo, Teresina/PI;apartamento;58m² / 58m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-41m2-RS170000/id-28580212/;R$ 170.000;Rua Leôncio Ferraz, Morada Do Sol, Teresina/PI;apartamento;41m² / 41m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-morada-do-sol-41m2-RS180000/id-25692543/;R$ 180.000;Rua Leôncio Ferraz, Morada Do Sol, Teresina/PI;apartamento;41m² / 41m²
